,0
0,0.550761421319797
1,0.6928934010152284
2,0.6751269035532995
3,0.7360406091370558
4,0.8401015228426396
5,0.8324873096446701
6,0.8223350253807107
7,0.8375634517766497
8,0.8375634517766497
9,0.8248730964467005
10,0.883248730964467
11,0.9263959390862944
12,0.9137055837563451
13,0.8807106598984772
14,0.8984771573604061
15,0.9441624365482234
16,0.934010152284264
17,0.9517766497461929
18,0.9543147208121827
19,0.9517766497461929
20,0.949238578680203
21,0.9416243654822335
22,0.9593908629441624
23,0.9644670050761421
24,0.9517766497461929
25,0.9568527918781726
26,0.9593908629441624
27,0.9467005076142132
28,0.9365482233502538
29,0.9238578680203046
30,0.8756345177664975
31,0.868020304568528
32,0.8197969543147208
33,0.8223350253807107
34,0.8248730964467005
35,0.7588832487309645
36,0.6979695431472082
37,0.7690355329949239
38,0.8071065989847716
39,0.8375634517766497
40,0.8147208121827412
41,0.8451776649746193
42,0.7918781725888325
43,0.7385786802030457
44,0.7309644670050761
45,0.7360406091370558
46,0.748730964467005
47,0.7157360406091371
48,0.748730964467005
49,0.7411167512690355
50,0.751269035532995
51,0.7233502538071066
52,0.7309644670050761
53,0.7817258883248731
54,0.6421319796954315
55,0.6345177664974619
56,0.6725888324873096
57,0.6624365482233503
58,0.6624365482233503
59,0.7081218274111675
60,0.7284263959390863
61,0.7309644670050761
62,0.748730964467005
63,0.7385786802030457
64,0.7461928934010152
65,0.7817258883248731
66,0.7690355329949239
67,0.7614213197969543
68,0.7639593908629442
69,0.7639593908629442
70,0.7741116751269036
71,0.8020304568527918
72,0.7690355329949239
73,0.7842639593908629
74,0.766497461928934
75,0.7791878172588832
76,0.7436548223350253
77,0.7563451776649747
78,0.7614213197969543
79,0.7436548223350253
80,0.7588832487309645
81,0.7411167512690355
82,0.7030456852791879
83,0.6878172588832487
84,0.6522842639593909
85,0.649746192893401
86,0.7131979695431472
87,0.733502538071066
88,0.6802030456852792
89,0.6700507614213198
90,0.7081218274111675
91,0.7258883248730964
92,0.7233502538071066
93,0.733502538071066
94,0.7538071065989848
95,0.7309644670050761
96,0.7563451776649747
97,0.7081218274111675
98,0.7385786802030457
99,0.748730964467005
100,0.733502538071066
101,0.7284263959390863
102,0.7461928934010152
103,0.7614213197969543
104,0.7741116751269036
105,0.7639593908629442
106,0.733502538071066
107,0.6979695431472082
108,0.7284263959390863
109,0.733502538071066
110,0.7563451776649747
111,0.7741116751269036
112,0.751269035532995
113,0.7436548223350253
114,0.7182741116751269
115,0.7030456852791879
116,0.751269035532995
117,0.7258883248730964
118,0.7131979695431472
119,0.7563451776649747
120,0.7563451776649747
121,0.700507614213198
122,0.751269035532995
123,0.7411167512690355
124,0.7360406091370558
125,0.748730964467005
126,0.7715736040609137
127,0.748730964467005
128,0.7461928934010152
129,0.7614213197969543
130,0.7944162436548223
131,0.7918781725888325
132,0.8248730964467005
133,0.8299492385786802
134,0.8299492385786802
135,0.7918781725888325
136,0.7944162436548223
137,0.7893401015228426
138,0.751269035532995
139,0.7588832487309645
140,0.7639593908629442
141,0.7817258883248731
142,0.8197969543147208
143,0.850253807106599
144,0.868020304568528
145,0.8197969543147208
146,0.8375634517766497
147,0.8223350253807107
148,0.8096446700507615
149,0.817258883248731
